family,requirement,source,line,source_sha,artifact,verification
EP_SWEEP,actual RAW Vp; own native fit1,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/runner.py,194,a52863e55b5a946ad77b7b4fee687788e41e7d0cdf6863dff70f1c37381a1aa4,30 native-targets-map; commit native100/solve1,SOURCE_AND_CPU_TENSOR_BINDING
EP_SWEEP,C0 copies Vp; gC=gW A^T,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,166,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,gE/gD/RAW header bridge; derivative FD skipped,SOURCE_CONFIRMED_NUMERICAL_NOT_ESTABLISHED
EP_SWEEP,E desired token mean then request mean,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,388,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,current rows denominator100;7 microbatches,SOURCE_AND_STORED_ROWS
EP_SWEEP,D W0 full-vocab KL S64,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,432,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,64doc128positions; S64 teacher ID,SOURCE_AND_STORED_ROWS
EP_SWEEP,"E/D separate sweep, only S64 gradient",/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,411,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,70current+640S64 backward/arm,SOURCE_AND_COUNTERS
EP_SWEEP,halfspace d and zero branch,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/policy.py,159,7f7e100e426204f0d09df8ff0051cd3de704026cfbc91e3da77a4d70a5812af8,per-batch-actions CPU q/dot vs stored,SOURCE_AND_STORED_TENSORS
EP_SWEEP,bounded/disabled cap only,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/policy.py,263,7f7e100e426204f0d09df8ff0051cd3de704026cfbc91e3da77a4d70a5812af8,alpha norm/used/mode/cap receipt,SOURCE_AND_CPU_SCALARS
EP_SWEEP,ball then C-only trust,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/policy.py,277,7f7e100e426204f0d09df8ff0051cd3de704026cfbc91e3da77a4d70a5812af8,ball hit/trust/inner products,SOURCE_AND_CPU_SCALARS
EP_SWEEP,RAW/C1/C05/C025 actual materialization,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/policy.py,349,7f7e100e426204f0d09df8ff0051cd3de704026cfbc91e3da77a4d70a5812af8,160 candidate receipts incl reused10batch,SOURCE_AND_CPU_TENSORS
EP_SWEEP,exact E and strict ID set; minD tieRAW,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/policy.py,424,7f7e100e426204f0d09df8ff0051cd3de704026cfbc91e3da77a4d70a5812af8,candidate-details arithmetic; no tolerance relaxation,SOURCE_AND_STORED_ROWS
EP_SWEEP,final history1 and accepted-only ledger,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/runner.py,278,a52863e55b5a946ad77b7b4fee687788e41e7d0cdf6863dff70f1c37381a1aa4,30CP/27links/ledger summaries,SOURCE_AND_CPU_TENSORS
EP_SWEEP,FD/ULP/selfKL/direct diagnostic skip,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/runner.py,219,a52863e55b5a946ad77b7b4fee687788e41e7d0cdf6863dff70f1c37381a1aa4,technical JSON SKIPPED_USER_DIRECTED,SKIPPED_USER_DIRECTED
